Ma'aganMa'agan148,,
Mizpe YamNetanya32,,
Margoa RehovotRehovot20,,
Leonardo Art Tel AvivTel Aviv Jaffa156,,
Neve Shalom41,,
NationalJerusalem105,,
CinemaTel Aviv Jaffa83,,
Spa Village Hamat Gader29,,
Panorama TiberiasTiberias45,,
Kfar Blum Pastoral154,,
Prima KingsJerusalem213,,
KaplanJerusalem15,,
RenaissanceTel Aviv Jaffa342,,
Three Arches Y.M.C.AJerusalem54,,
Blue WeissNetanya34,,
TLV 88Tel Aviv Jaffa16,,
IndigoRamat Gan91,,
Astral PalmaEilat152,,
ArtplusTel Aviv Jaffa64,,
Prima GalilTiberias78,,
Little House In RehaviaJerusalem28,,
Jerusalem InnJerusalem25,,
Dizengoff SuitesTel Aviv Jaffa18,,
Sun CityTel Aviv Jaffa18,,
Victoria HotelJerusalem53,,
Eden TiberiasTiberias103,,
HabiraJerusalem33,,
HamakomNetua13,,
Pninat Haemek56,,
ChristmasJerusalem34,,
Leonardo Suite Bat-YamBat Yam107,,
Dizengoff Sea ResidenceTel Aviv Jaffa22,,
Elma Arts Complex Luxury HotelZikhron Ya'akov95,,
Serenity on the MountainYir'on38,,
Market House HotelTel Aviv Jaffa44,,
Malka HotelJerusalem24,,
Bat Galim Boutique HotelHaifa12,,
The SephardichouseJerusalem55,,
Vista EilatEilat84,,
EretzefatSafed 20,,
Regina GorenAshkelon45,,
Merom Golan Resort Village 116,,
The Rothschild Hotel (Tel Aviv)Tel Aviv Jaffa26,,
Prima Millennium Ra'anana140,,
Ruth Daniel Residence HotelTel Aviv Jaffa64,,
Jerusalem Gardens - Hotel & SpaJerusalem180,,
Poli House HotelTel Aviv Jaffa40,,
Isrotel Agamim HotelEilat320,,
Isrotel King Solomon HotelEilat420,,
Isrotel Dead SeaDead Sea298,,
Isrotel Sport Club HotelEilat312,,
Isrotel Royal Beach HotelEilat363,,
Isrotel Royal GardenEilat343,,
Isrotel Tower Tel AvivTel Aviv Jaffa90,,
Isrotel Ramon InnMizpe Ramon96,,
Abratel SuitesTel Aviv Jaffa30,,
Orchid EilatEilat137,,
Island HotelNetanya137,,
Eldan Jerusalem76,,
Alaska InnMetula49,,
Amirey HagalilAmirim17,,
EmelisTiberias48,,
Astral Maris Eilat96,,
Golden BeachTel Aviv Jaffa48,,
Ginot YamNetanya54,,
GalilNetanya84,,
Grand CourtJerusalem442,,
Dan Tel AvivTel Aviv Jaffa286,,
Dan AccadiaHerzliya207,,
Dan BoutiqueJerusalem129,,
Herods Dead SeaDead Sea223,,
TabarNazareth90,,
Carmel Forest Spa Resort 126,,
Kfar MaccabbiahRamat Gan260,,
Leonardo Inn96,,
Leonardo Beach Tel AvivTel Aviv Jaffa135,,
Leonardo JerusalemJerusalem394,,
Leonardo Plaza EilatEilat301,,
MontefioreJerusalem56,,
MetropolitanTel Aviv Jaffa265,,
Miami Tel Aviv Jaffa25,,
MaximTel Aviv Jaffa71,,
MercureTel Aviv Jaffa103,,
Nes AmmimNes Ammim48,,
Sea NetTel Aviv Jaffa70,,
C Hotel EilatEilat150,,
Prima CityTel Aviv Jaffa106,,
AkkotelAkko (Acre)16,,
InbalJerusalem283,,
Prima MusicEilat144,,
Prima PalaceJerusalem76,,
Prima Tel AvivTel Aviv Jaffa58,,
Q HotelNetanya50,,
Crowne Plaza JerusalemJerusalem396,,
CarltonTel Aviv Jaffa286,,
Ramot Tiberias123,,
SadotRishon Lezion37,,
Shalom RelaxTel Aviv Jaffa51,,
AzzahraJerusalem15,,
EfendiAkko (Acre)12,,
Astral VillageEilat182,,
Shtarkman Erna Nahariya30,,
Crowne Plaza Dead SeaDead Sea304,,
ResidenceNetanya72,,
BergerTiberias42,,
B BerdichevskyTel Aviv Jaffa23,,
PeqiinPeqi'in (buqei'a)33,,
Nahsholim Seaside ResortNahsholim152,,
Galilee HotelNazareth103,,
King KoreshNetanya29,,
LegacyJerusalem49,,
Mount Of OlivesJerusalem55,,
Desert IrusYeroham47,,
Jerusalem Castle HotelJerusalem24,,
Prima Spa Club Dead Sea96,,
Hotel CinemaTel Aviv Jaffa83,,
Center Chic HotelTel Aviv Jaffa54,,
Golden Crown Hotel Old CityNazareth100,,
Setai Sea of GalileeTiberias110,,
Ultra HotelTel Aviv Jaffa29,,
Isrotel OrientJerusalem243,,
Shoresh Green HillsJerusalem40,,
Hotel 75Tel Aviv Jaffa20,,
Prima LinkPetach Tikva119,,
Har Gilboa Olive hotel42,,
Ibis Jerusalem City CenterJerusalem124,,
Comfort Boutique Hotel Eilat98,,
The Setai Tel AvivTel Aviv Jaffa120,,
Colony Hotel HaifaHaifa40,,
Market Hotel HaifaHaifa98,,
Gan Ba’edenTirat Tzvi19,,
Nofei Habashan Lehavot HaBashan27,,
Yehuda Hotel Jerusalem129,,
The David Citadel HotelJerusalem385,,
Isrotel Ganim203,,
Cramim Resort & SpaKiryat Anavim155,,
Isrotel Lagoona All InclusiveEilat256,,
AmbassadorJerusalem119,,
Armon YamBat Yam61,,
BaliTiberias160,,
Beth HashalomHaifa30,,
Little House in BakahJerusalem33,,
Beit KayNahariyya98,,
Golden wallsJerusalem120,,
Grand BeachTel Aviv Jaffa212,,
Dona GraciaTiberias66,,
David Dead Sea Resort & Spa606,,
SoleilEilat62,,
Dan Panorama Tel AvivTel Aviv Jaffa500,,
Dan CaesareaCaesarea114,,
HaGoshrim Hotel & Nature 184,,
Queen Of ShebaEilat481,,
King DavidJerusalem237,,
King Solomon JerusalemJerusalem148,,
Herods BoutiqueEilat91,,
Herods PalaceEilat296,,
West Boutique Tel AvivTel Aviv Jaffa65,,
Villa CarmelHaifa15,,
Leonardo Plaza HaifaHaifa198,,
La Playa plusEilat212,,
Jerusalem TowerJerusalem120,,
Miami HotelAshdod35,,
C Hotel Neve Ilan160,,
Plaza Nazareth IllitNazareth Illit182,,
Prima Oasis 144,,
Prima ParkJerusalem217,,
Caesar Premier JerusalemJerusalem150,,
Club Hotel TiberiasTiberias300,,
Crowne Plaza City CenterTel Aviv Jaffa273,,
Ramat RachelRamat Rachel165,,
ShefayimShefayim145,,
Sheraton Tel AvivTel Aviv Jaffa318,,
Ye'arim220,,
U Coral Beach ClubEilat287,,
Carlton NahariyaNahariyya200,,
Ramon SuitesMitzpe Ramon49,,
Rivoli HotelJerusalem31,,
Ein Gedi166,,
Club RamonMitzpe Ramon42,,
"Brown""Tel Aviv JaffaTel Aviv Jaffa""30",,
Bat YamBat Yam20,,
Zippori Bakfar75,,
Golden CrowneNazareth243,,
Club In EilatEilat168,,
Sea SideTel Aviv Jaffa24,,
Tzuba (Belmont)Ñ64,,
Dan Panorama EilatEilat277,,
Sea LifeNahariya62,,
St. GabrielNazareth60,,
Nof GinosarGinnosar170,,
Red Sea HotelEilat53,,
The SeasonsNetanya100,,
Vital Tel avivTel Aviv Jaffa65,,
Yehelim Boutique HotelArad12,,
Leonardo AshkelonAshkelon131,,
Herods HerzliyaHerzliya252,,
Leonardo Plaza NetanyaNetanya152,,
Bay ClubHaifa52,,
Yam HotelTel Aviv Jaffa42,,
Okeanos Suites HerzliyaHerzliya57,,
Olive Nahariya Hotel | Business HotelNahariyya24,,
Nof ZuqimMitzpe Ramon12,,
Jacob SamuelTel Aviv Jaffa22,,
Lot Spa Hotel Dead Sea227,,
Lily & Bloom Boutique HotelTel Aviv Jaffa37,,
